Name,Pronouns,UFL Email,Phone,Socials,Year,Major,Other Orgs,"Role (0=Big,1=Little)",Preferred Littles,Preferred Bigs,Pairing Requests (Optional),"On/Off Campus (0=On,1=Off)","Has Car (0=No,1=Yes)",Ideal Big/Little,Looking For ACE,Free Time,Hobbies,Favorite Artists/Songs,Icks,Talk for Hours About,Self Description,Best Joke,Favorite Food,"EarlyBird/NightOwl (0=Early,1=Night)",Extroversion (1-5),Good Advice (1-5),Plans Style (1-5),Study Frequency (1-5),Gym Frequency (1-5),Spending Habits (1-5),Friday Night,Additional Info (Optional)
Thomas Graham,he/him,jordan263@ufl.edu,(019)092-3945x6032,@madison20,2,Data Science,VSO,0,1.0,,,0,1,Chill and introverted,Meet new people,traveling,"painting, reading, cooking",Post Malone - Lo-fi,Bad hygiene,sports,Wait risk none call dog our someone or value full my day fill seem.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,0,5,4,4,3,4,5,studying at Marston,I love hanging out at Plaza of Americas
Louis Hamilton,they/them,gina991@ufl.edu,(030)827-3932x5011,@robert74,1,Computer Science,None,0,1.0,,Prefer someone also into K-pop,1,1,Shares similar hobbies,Network and make friends,painting,"cooking, traveling",Taylor Swift - K-pop,Being late,k-pop gossip,Table history will process when should language trade future cell.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,1,3,4,3,3,5,5,gaming all night,
Tanner Farley,she/her,austin673@ufl.edu,431.508.5469,@natalie48,2,Finance,CSA,0,3.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Find a mentor,gaming,"reading, cooking",Taylor Swift - Lo-fi,Being late,movies & TV shows,Free we fill bank positive hand role case industry agency travel from up.,What do you call fake spaghetti? An impasta!,I would literally eat anything,0,5,3,5,5,4,1,sleeping early,
Robin Hernandez,they/them,grace339@ufl.edu,289-028-4997,@michael69,1,Marketing,AAA,0,3.0,,Prefer someone from AAA,1,0,Fun and outgoing,Guide underclassmen,reading,movies,SZA - Pop,Bad hygiene,sports,Number example stay fact if heart resource one nature between leg treat to.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,1,4,3,5,3,2,5,studying at Marston,
Michael Rocha,she/her,maria920@ufl.edu,(270)637-7976,@kayla48,1,Finance,VSO,0,1.0,,Prefer someone also into K-pop,1,1,Fun and outgoing,Find a mentor,gaming,"painting, photography, cooking",SZA - R&B,Being late,k-pop gossip,Quality performance time major material almost business ok participant about sing central energy every purpose just.,What do you call fake spaghetti? An impasta!,Italian,1,5,3,4,5,2,4,dinner with friends,
Hannah Brown,he/him,john87@ufl.edu,135.291.0325,@ronald17,1,Marketing,None,0,1.0,,Prefer someone from AAA,0,0,Fun and outgoing,Find a mentor,traveling,painting,Post Malone - R&B,Being late,k-pop gossip,Goal individual worker fill wish big thank after remember if green easy we possible.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,4,5,3,4,3,5,sleeping early,I love hanging out at Plaza of Americas
Tina Hughes,they/them,harold624@ufl.edu,(829)121-0730,@kristen77,1,Data Science,FSA,0,1.0,,,1,1,Fun and outgoing,Network and make friends,photography,"music, painting",Joji - R&B,Overusing emojis,sports,How team prepare else true truth smile standard leave discuss time right green.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,4,3,5,4,3,4,sleeping early,
Wesley Wilson,she/her,juan392@ufl.edu,(361)588-6066x60459,@terri54,1,Marketing,CSA,0,5.0,,,0,0,Chill and introverted,Guide underclassmen,music,gaming,Taylor Swift - Rock,Overusing emojis,gaming strategies,Family impact Democrat majority develop election for address sea push structure president far improve.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,1,5,5,5,2,4,5,sleeping early,I love hanging out at Plaza of Americas
Cynthia Murphy,she/her,sarah710@ufl.edu,+1-048-712-5475x64634,@robert62,1,Computer Science,FSA,0,1.0,,,1,1,Shares similar hobbies,Network and make friends,gaming,"cooking, music",SZA - R&B,Bad hygiene,fashion trends,Suffer kid degree significant movement change alone out pressure.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,5,3,4,3,3,3,movie night,I love hanging out at Plaza of Americas
Wendy Gilmore,she/her,laura512@ufl.edu,016-129-3264x115,@robert11,2,Computer Science,CSA,0,5.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Network and make friends,music,traveling,NewJeans - K-pop,Being late,fashion trends,Lawyer only term behind choose reach according third attack water sometimes star more.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,4,3,4,3,5,5,gaming all night,Looking for study buddies
Jose Phillips,he/him,kristen521@ufl.edu,001-764-361-7377x10851,@wayne28,2,Biology,AAA,0,1.0,,,1,0,Shares similar hobbies,Find a mentor,movies,movies,SZA - EDM,Being late,gaming strategies,Receive produce hear nothing American ahead memory girl ball effort answer give.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,1,3,3,4,4,2,1,going out,
Thomas Estrada,he/him,amy289@ufl.edu,001-371-689-0439x58191,@ian56,1,Biology,CSA,0,2.0,,Prefer someone from AAA,1,0,Supportive and caring,Guide underclassmen,painting,traveling,Drake - Hip-hop,Bad hygiene,fashion trends,Opportunity student traditional what work level carry attack teach tend four traditional into body say.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,5,4,5,4,5,5,gaming all night,
Vanessa Mullen,they/them,bruce227@ufl.edu,001-463-653-4710,@dana29,2,Marketing,None,0,1.0,,Prefer someone also into K-pop,0,0,Fun and outgoing,Network and make friends,painting,gaming,SZA - Hip-hop,Bad hygiene,AI & tech,Thus such whom room man low line suffer.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,4,5,3,2,2,3,dinner with friends,
Tommy Lopez,she/her,jason342@ufl.edu,458.089.2125x39351,@eric9,1,Finance,VSO,0,3.0,,Prefer someone from AAA,1,0,Chill and introverted,Meet new people,photography,"gym, cooking, music",Post Malone - R&B,Chewing loudly,sports,Name area capital central tax hotel shoulder fish only minute expert door.,What do you call fake spaghetti? An impasta!,American,1,3,3,4,4,3,4,gaming all night,
Beverly Dunlap,he/him,beverly656@ufl.edu,(116)722-5550x47405,@jason54,1,Marketing,VSO,0,2.0,,Prefer someone from AAA,0,1,Fun and outgoing,Meet new people,movies,gaming,Taylor Swift - R&B,Talking over others,fashion trends,Hundred five represent hundred age sure natural challenge paper oil specific agreement world must lose week.,Why don’t skeletons fight each other? They don’t have the guts.,American,0,4,4,5,2,2,4,studying at Marston,
Renee Carter,he/him,andre531@ufl.edu,001-335-327-3899x53399,@alyssa94,1,Marketing,CSA,0,3.0,,,0,0,Fun and outgoing,Network and make friends,traveling,"reading, gym",SZA - EDM,Bad hygiene,sports,They student grow difficult discussion everyone writer current.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,1,3,5,4,3,1,5,studying at Marston,Looking for study buddies
Kristen Davis,he/him,sherry585@ufl.edu,001-527-294-6221,@tracy40,2,Data Science,VSO,0,4.0,,,1,1,Shares similar hobbies,Find a mentor,traveling,"music, gaming, photography",NewJeans - Pop,Bad hygiene,AI & tech,Expert line fly our me study again almost loss unit read fill full prevent range sport.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,0,4,5,5,4,1,4,going out,Looking for study buddies
Alvin Valdez,they/them,kristen510@ufl.edu,713.519.6612x710,@david65,2,Biology,None,0,1.0,,Prefer someone same major,0,1,Supportive and caring,Guide underclassmen,cooking,gym,Taylor Swift - EDM,Chewing loudly,movies & TV shows,However personal home run risk these democratic still administration can about action.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,4,4,5,2,5,5,studying at Marston,
Robert Wilcox,they/them,matthew366@ufl.edu,(998)741-3170x57004,@mark96,2,Mechanical Engineering,HSA,0,3.0,,Prefer someone from AAA,1,1,Chill and introverted,Meet new people,reading,"traveling, gaming, reading",Post Malone - Rock,Talking over others,k-pop gossip,Recently involve away raise continue image letter important contain food watch state.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,3,3,3,5,5,2,going out,
Amy Reid,she/her,becky771@ufl.edu,(063)777-7023,@james1,1,Mechanical Engineering,AAA,0,1.0,,Prefer someone also into K-pop,1,1,Chill and introverted,Meet new people,movies,"movies, traveling",Joji - Lo-fi,Being late,AI & tech,Wish lawyer really Mr answer southern do decide be focus sometimes push meeting benefit number writer.,What do you call fake spaghetti? An impasta!,Mexican,0,4,3,3,2,5,5,sleeping early,
Melissa Morales,he/him,stacey141@ufl.edu,(589)038-3464x437,@jessica76,2,Computer Science,FSA,0,5.0,,,1,1,Chill and introverted,Network and make friends,movies,traveling,Joji - Hip-hop,Being late,movies & TV shows,Environmental month pressure than set cultural know personal price structure water employee wish especially.,I only know 25 letters of the alphabet. I don’t know y.,American,0,5,4,4,3,3,4,dinner with friends,I love hanging out at Plaza of Americas
Stephen Simmons,she/her,megan43@ufl.edu,421-186-2487,@christina69,1,Mechanical Engineering,CSA,0,3.0,,Prefer someone also into K-pop,0,0,Chill and introverted,Guide underclassmen,music,"movies, reading, cooking",Taylor Swift - Hip-hop,Being late,k-pop gossip,About owner series couple public true experience pass.,Why did the scarecrow get promoted? He was outstanding in his field.,American,0,4,3,3,2,5,5,sleeping early,
Michele Hill,he/him,keith464@ufl.edu,+1-441-518-6963x29327,@johnny74,2,Mechanical Engineering,AAA,0,1.0,,Prefer someone from AAA,0,1,Supportive and caring,Guide underclassmen,gaming,"gym, music",The Weeknd - Rock,Chewing loudly,movies & TV shows,Again economy size effort budget capital cup.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,1,3,4,3,3,4,1,movie night,
Kathleen Hunter,he/him,steven114@ufl.edu,432-228-8907x99216,@laura25,2,Finance,HSA,0,3.0,,Prefer someone from AAA,1,1,Fun and outgoing,Find a mentor,music,"gym, painting",SZA - Indie,Being late,fashion trends,Crime management fill through just use important return marriage order board later road.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,0,3,4,3,5,3,5,sleeping early,I love hanging out at Plaza of Americas
Daniel Hines,he/him,kristopher421@ufl.edu,028-076-8063x9871,@colin19,2,Biology,HSA,0,1.0,,Prefer someone also into K-pop,1,0,Supportive and caring,Network and make friends,music,"music, cooking",Joji - Rock,Overusing emojis,movies & TV shows,Yes yeah newspaper continue recently mind range get make who country past.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,1,4,5,4,3,2,3,sleeping early,
Thomas Page,they/them,raymond152@ufl.edu,357-660-5043x09729,@sheri71,1,Mechanical Engineering,AAA,0,3.0,,,1,0,Chill and introverted,Meet new people,cooking,music,Drake - R&B,Talking over others,k-pop gossip,Agreement one green our near born animal bit subject grow.,What do you call fake spaghetti? An impasta!,American,0,3,4,5,5,2,1,studying at Marston,
Christopher Richardson,they/them,erika750@ufl.edu,(185)983-5475x1439,@anna80,2,Computer Science,HSA,0,1.0,,Prefer someone also into K-pop,0,0,Chill and introverted,Guide underclassmen,photography,"traveling, reading",Drake - K-pop,Being late,sports,Executive worry should condition attorney money itself office situation impact there but future assume box wide.,Why don’t skeletons fight each other? They don’t have the guts.,Italian,0,3,3,3,5,2,2,gaming all night,
Terry Hudson,they/them,elizabeth678@ufl.edu,477-045-0277,@david11,1,Marketing,VSO,0,4.0,,Prefer someone also into K-pop,1,1,Shares similar hobbies,Find a mentor,gaming,"traveling, music",Joji - Pop,Overusing emojis,fashion trends,Happen yet college image here part talk mother couple state kitchen deep military everybody everybody.,Why did the scarecrow get promoted? He was outstanding in his field.,American,1,3,3,5,5,4,2,sleeping early,
William Odonnell,they/them,shannon567@ufl.edu,211-856-9190,@todd69,1,Mechanical Engineering,CSA,0,2.0,,Prefer someone also into K-pop,0,1,Supportive and caring,Guide underclassmen,traveling,gym,Post Malone - Pop,Being late,k-pop gossip,Student avoid risk impact system build reason back southern news gas guy modern little art.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,5,5,3,5,5,3,going out,I love hanging out at Plaza of Americas
Jenna Haas,she/her,jessica10@ufl.edu,(508)913-8910x63103,@joshua96,1,Biology,CSA,0,1.0,,Prefer someone also into K-pop,1,0,Shares similar hobbies,Guide underclassmen,traveling,"traveling, movies, cooking",Drake - Indie,Talking over others,movies & TV shows,Hit while it imagine three law radio research bed.,What do you call fake spaghetti? An impasta!,American,0,3,4,3,4,3,2,going out,
Steven Jones,they/them,jason779@ufl.edu,(414)134-5533x05999,@dustin14,1,Marketing,VSO,0,1.0,,Prefer someone same major,0,0,Supportive and caring,Guide underclassmen,music,"reading, gaming",Drake - Lo-fi,Overusing emojis,sports,Identify prevent serve knowledge as character take cold under down economic common thus then safe.,What do you call fake spaghetti? An impasta!,Mexican,1,5,3,4,2,2,2,going out,
Stephanie Turner,he/him,betty299@ufl.edu,751-079-4558x1075,@laurie55,1,Computer Science,HSA,0,2.0,,Prefer someone from AAA,1,0,Shares similar hobbies,Guide underclassmen,gaming,"traveling, painting",Post Malone - Indie,Bad hygiene,movies & TV shows,Commercial statement actually TV recently because need miss nature.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,5,4,3,5,4,1,gaming all night,
Heidi Hill,they/them,todd943@ufl.edu,451.624.9965,@angela7,2,Marketing,FSA,0,3.0,,Prefer someone also into K-pop,1,0,Fun and outgoing,Meet new people,cooking,"reading, music, cooking",Joji - K-pop,Bad hygiene,fashion trends,Throughout model ball commercial really along light.,Why did the scarecrow get promoted? He was outstanding in his field.,American,1,3,4,3,2,1,2,dinner with friends,Looking for study buddies
Bryan Cervantes,they/them,aaron717@ufl.edu,4483593214,@terri55,1,Computer Science,FSA,0,4.0,,Prefer someone from AAA,0,0,Chill and introverted,Network and make friends,movies,painting,Joji - Rock,Being late,fashion trends,New someone effort rise significant career environment agreement stuff address example series so general show.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,4,5,4,3,4,5,gaming all night,
Alan Padilla,he/him,timothy622@ufl.edu,399.488.1790x45372,@michael88,1,Marketing,HSA,0,3.0,,Prefer someone same major,0,0,Chill and introverted,Network and make friends,painting,"photography, music",The Weeknd - R&B,Chewing loudly,gaming strategies,Wide general base less relate part side style drive score owner actually those address daughter station.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,5,5,5,2,3,4,gaming all night,
Jennifer Walters,they/them,charles416@ufl.edu,+1-851-486-6755x811,@james13,1,Marketing,AAA,0,1.0,,Prefer someone from AAA,1,0,Fun and outgoing,Network and make friends,gym,"movies, gaming, cooking",SZA - Indie,Overusing emojis,movies & TV shows,Within me thing care similar none consider thing wife care south.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,1,4,5,5,4,2,1,studying at Marston,
Erika Fernandez,they/them,jessica961@ufl.edu,(157)971-2382x4094,@nicole26,1,Data Science,FSA,0,1.0,,Prefer someone same major,1,1,Shares similar hobbies,Meet new people,movies,photography,SZA - Pop,Talking over others,movies & TV shows,Than style quite little yeah research ahead listen available.,What do you call fake spaghetti? An impasta!,Mexican,0,3,5,3,3,5,3,dinner with friends,Looking for study buddies
James Ray,he/him,amanda264@ufl.edu,+1-439-951-7047,@harold10,1,Marketing,AAA,0,1.0,,Prefer someone same major,0,1,Shares similar hobbies,Meet new people,movies,"music, cooking, reading",Post Malone - K-pop,Being late,AI & tech,Buy remember out reason father energy hold talk quickly final magazine activity color town ready consider.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,1,5,4,3,4,5,1,studying at Marston,Looking for study buddies
Margaret Bentley,they/them,lance887@ufl.edu,(269)189-7819x4129,@holly63,1,Finance,AAA,0,1.0,,Prefer someone same major,0,1,Supportive and caring,Network and make friends,gaming,music,SZA - Pop,Overusing emojis,k-pop gossip,Purpose act pick owner party baby school develop yeah writer gas.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,0,5,5,3,5,1,3,going out,
Jennifer Lewis,she/her,janice787@ufl.edu,0569266853,@jack47,1,Marketing,HSA,0,3.0,,Prefer someone also into K-pop,0,1,Shares similar hobbies,Find a mentor,reading,"reading, cooking, movies",NewJeans - Rock,Bad hygiene,sports,Event while woman someone say sure forget song provide choose.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,4,4,4,5,4,2,studying at Marston,
Stephen Williams,she/her,joe186@ufl.edu,001-570-386-1440x3993,@jonathan82,1,Computer Science,None,0,5.0,,Prefer someone also into K-pop,1,1,Supportive and caring,Meet new people,gaming,"photography, painting",SZA - Hip-hop,Bad hygiene,k-pop gossip,Who act sure tree leave decision property performance paper follow activity save treat.,What do you call fake spaghetti? An impasta!,Asian,0,3,5,3,4,4,1,going out,I love hanging out at Plaza of Americas
Misty Ferrell,she/her,mikayla703@ufl.edu,917-961-0136x53198,@elizabeth45,2,Marketing,CSA,0,3.0,,Prefer someone from AAA,0,1,Shares similar hobbies,Find a mentor,traveling,traveling,Joji - Indie,Bad hygiene,k-pop gossip,Sometimes tell authority I us administration wonder worker nature pay western buy appear part save.,What do you call fake spaghetti? An impasta!,Italian,1,4,3,4,4,2,2,gaming all night,
Monique Herring,she/her,jacob362@ufl.edu,(051)811-9068,@heidi80,2,Biology,FSA,0,2.0,,,1,1,Supportive and caring,Network and make friends,traveling,"painting, music, cooking",SZA - EDM,Talking over others,sports,Movie third military treat land organization commercial.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,3,5,3,5,2,4,dinner with friends,
Rebecca Ford,she/her,diana464@ufl.edu,+1-921-860-0194x523,@jennifer21,1,Data Science,FSA,0,4.0,,,1,0,Fun and outgoing,Meet new people,gym,painting,Taylor Swift - Pop,Chewing loudly,k-pop gossip,Room yourself election partner nothing officer writer money pay.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,5,5,4,2,3,5,sleeping early,
Jeremiah Harris,he/him,rhonda850@ufl.edu,838-300-8174x103,@david3,1,Mechanical Engineering,CSA,0,1.0,,,0,1,Supportive and caring,Network and make friends,gaming,"gaming, gym, traveling",Post Malone - Pop,Being late,movies & TV shows,Never task outside free current issue forget responsibility seek need least house rather everyone time speech.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,0,5,3,5,5,2,3,sleeping early,I love hanging out at Plaza of Americas
Jay Hartman,they/them,deanna106@ufl.edu,(773)506-5059,@teresa81,2,Mechanical Engineering,None,0,1.0,,Prefer someone same major,0,1,Supportive and caring,Network and make friends,reading,"music, movies, gym",The Weeknd - R&B,Talking over others,gaming strategies,Boy machine from type step fire serious economy arrive long.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,0,4,4,4,4,1,3,going out,
Gerald Adams,he/him,robert877@ufl.edu,+1-799-555-0146x9587,@brittany23,1,Finance,HSA,0,5.0,,,0,1,Supportive and caring,Find a mentor,traveling,"music, traveling",NewJeans - Indie,Talking over others,movies & TV shows,Although media office lead eight various question travel analysis last me.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,5,5,5,2,2,1,sleeping early,
Travis Horton,he/him,eric621@ufl.edu,706-493-3736x9301,@rachel41,1,Biology,CSA,0,3.0,,Prefer someone also into K-pop,1,1,Shares similar hobbies,Meet new people,reading,gaming,Joji - K-pop,Talking over others,movies & TV shows,View majority account ball business year seven theory trouble oil.,What do you call fake spaghetti? An impasta!,Italian,1,5,4,3,3,5,3,going out,
David Wells,he/him,emily990@ufl.edu,(312)777-7961x0358,@robert15,2,Marketing,VSO,0,2.0,,Prefer someone from AAA,1,1,Supportive and caring,Meet new people,gym,"music, traveling",Drake - Rock,Overusing emojis,movies & TV shows,Add board together anything difference alone player these investment discussion on letter nice wind.,I only know 25 letters of the alphabet. I don’t know y.,Asian,1,3,3,3,5,3,5,studying at Marston,
Lori Murphy,she/her,jesse724@ufl.edu,+1-146-342-7733x7862,@zachary22,2,Computer Science,AAA,0,2.0,,Prefer someone from AAA,0,1,Fun and outgoing,Find a mentor,traveling,"movies, cooking, gaming",Joji - Pop,Chewing loudly,sports,Collection low may central through front one style part.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,5,3,4,4,4,2,gaming all night,
Christine Hall,he/him,scott830@ufl.edu,001-367-331-5239x929,@tracey28,2,Biology,VSO,0,2.0,,,0,1,Shares similar hobbies,Network and make friends,reading,"traveling, music, cooking",Drake - EDM,Bad hygiene,sports,Method remember modern agreement somebody represent land peace about television east.,I only know 25 letters of the alphabet. I don’t know y.,Italian,0,5,4,5,2,3,3,studying at Marston,
Diane Branch,she/her,john439@ufl.edu,001-661-684-4208,@gregory1,2,Data Science,FSA,0,2.0,,Prefer someone from AAA,1,1,Shares similar hobbies,Guide underclassmen,painting,"reading, gym, painting",Taylor Swift - Indie,Being late,fashion trends,None production clear once order theory eye claim claim again lawyer owner hour.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,5,5,4,3,5,3,studying at Marston,Looking for study buddies
Jessica Hart,he/him,mary246@ufl.edu,835-131-7608x4358,@andrew75,1,Finance,HSA,0,1.0,,Prefer someone from AAA,1,0,Supportive and caring,Meet new people,gym,gaming,Taylor Swift - Indie,Chewing loudly,movies & TV shows,These quite year home whole boy total necessary anything doctor respond drive bring check power.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,3,4,3,2,3,4,sleeping early,Looking for study buddies
Curtis Maxwell,he/him,carrie19@ufl.edu,+1-836-301-8662,@lisa85,1,Finance,FSA,0,5.0,,Prefer someone also into K-pop,0,0,Shares similar hobbies,Meet new people,music,"cooking, painting",Post Malone - K-pop,Being late,AI & tech,Us window land future their politics summer director pick part task receive teach along.,What do you call fake spaghetti? An impasta!,I would literally eat anything,0,4,5,3,2,2,3,studying at Marston,I love hanging out at Plaza of Americas
Sandra Chavez,she/her,james552@ufl.edu,+1-535-748-2510x1511,@joann93,2,Finance,AAA,0,1.0,,Prefer someone from AAA,0,1,Shares similar hobbies,Network and make friends,music,"movies, reading, photography",Joji - R&B,Bad hygiene,fashion trends,Bag suffer miss tree its family deal to report coach look bag human door again.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,3,5,3,2,4,1,going out,
Natalie Allen,he/him,larry312@ufl.edu,952.114.1593x140,@nancy7,2,Mechanical Engineering,CSA,0,4.0,,,0,0,Chill and introverted,Meet new people,gaming,"music, gym",SZA - EDM,Chewing loudly,k-pop gossip,Including action kid represent say board current shoulder strategy resource model health loss in.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,1,5,5,3,5,1,2,studying at Marston,
Pamela Mclaughlin,she/her,wayne439@ufl.edu,027-616-6856x673,@marilyn73,2,Biology,FSA,0,3.0,,Prefer someone same major,1,1,Chill and introverted,Network and make friends,cooking,"music, photography, traveling",SZA - R&B,Being late,AI & tech,To smile themselves perhaps continue whole level run would.,Why don’t skeletons fight each other? They don’t have the guts.,Greek/Mediterranean,1,4,4,5,2,2,3,movie night,Looking for study buddies
Susan Cantu,he/him,alexis925@ufl.edu,010-683-2061x9186,@hannah91,2,Data Science,FSA,0,2.0,,Prefer someone also into K-pop,0,1,Chill and introverted,Network and make friends,traveling,cooking,SZA - EDM,Bad hygiene,gaming strategies,Understand public training drive ready tend service audience create.,What do you call fake spaghetti? An impasta!,I would literally eat anything,0,4,4,3,4,2,1,going out,Looking for study buddies
Craig Shea,she/her,chelsea794@ufl.edu,890.414.7610x2424,@marco1,2,Computer Science,HSA,0,4.0,,Prefer someone from AAA,1,0,Chill and introverted,Network and make friends,traveling,reading,SZA - EDM,Chewing loudly,k-pop gossip,Agency Mr including child feeling tend yet set ready market member Mrs.,I only know 25 letters of the alphabet. I don’t know y.,American,0,4,5,5,4,3,2,going out,Looking for study buddies
David Pierce,she/her,joseph352@ufl.edu,839.580.6707x485,@tyler33,1,Marketing,FSA,0,3.0,,Prefer someone from AAA,0,0,Chill and introverted,Network and make friends,gaming,"gaming, movies",Joji - Rock,Talking over others,movies & TV shows,Take someone various sense very land fight vote about person its a into necessary.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,3,3,3,4,4,3,going out,
Rebecca Fox,he/him,timothy168@ufl.edu,(978)760-4253x153,@robin44,1,Biology,AAA,0,3.0,,Prefer someone from AAA,1,0,Chill and introverted,Guide underclassmen,painting,"gym, traveling, music",Drake - Lo-fi,Talking over others,sports,Garden protect thus say short decision involve rate everyone have fly.,Why did the scarecrow get promoted? He was outstanding in his field.,American,1,4,4,3,5,2,1,gaming all night,Looking for study buddies
Hannah Ayers,he/him,calvin650@ufl.edu,(681)816-6550x5212,@thomas33,1,Finance,None,0,3.0,,,1,1,Shares similar hobbies,Find a mentor,music,reading,Joji - Hip-hop,Talking over others,sports,Must difficult pass half star board maybe design turn game when stage number think apply.,What do you call fake spaghetti? An impasta!,I would literally eat anything,1,4,4,5,3,2,5,sleeping early,
Kevin Kelly,they/them,brian428@ufl.edu,552-374-4942x976,@maria60,2,Mechanical Engineering,CSA,0,3.0,,Prefer someone from AAA,1,0,Chill and introverted,Meet new people,music,"gaming, painting",Post Malone - Pop,Overusing emojis,sports,Where throw true research describe dinner that defense even.,What do you call fake spaghetti? An impasta!,Asian,1,5,4,4,3,1,1,movie night,
Timothy Reed,she/her,jeffrey343@ufl.edu,149.314.1389x881,@andres20,1,Data Science,None,0,3.0,,,0,0,Supportive and caring,Meet new people,movies,gaming,Taylor Swift - Indie,Being late,gaming strategies,Thought history finish pretty national finally return forget only.,What do you call fake spaghetti? An impasta!,American,1,4,4,4,3,1,2,movie night,
Michael Price,she/her,teresa374@ufl.edu,938-156-9561x004,@shirley26,1,Marketing,None,0,1.0,,,1,0,Chill and introverted,Find a mentor,movies,"painting, music",NewJeans - Hip-hop,Bad hygiene,AI & tech,Region anything material note camera material star enough as one state.,I only know 25 letters of the alphabet. I don’t know y.,Italian,1,3,3,5,4,4,3,sleeping early,
Carlos Whitaker MD,she/her,brittney111@ufl.edu,001-931-197-7955,@thomas14,1,Mechanical Engineering,HSA,0,5.0,,,0,0,Supportive and caring,Guide underclassmen,reading,"cooking, music",Post Malone - Rock,Bad hygiene,fashion trends,Many movie well those rise ever month fly address form loss identify.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,5,4,5,5,1,2,gaming all night,
James Tyler,she/her,mary355@ufl.edu,(074)418-9195x8373,@amanda99,1,Computer Science,None,0,1.0,,Prefer someone from AAA,0,0,Supportive and caring,Find a mentor,cooking,cooking,Drake - EDM,Being late,fashion trends,Peace than boy run address kid issue court research.,Why don’t skeletons fight each other? They don’t have the guts.,American,0,4,3,3,4,5,2,dinner with friends,
Kevin Zimmerman,she/her,peggy21@ufl.edu,681-095-1687x538,@emily68,2,Finance,HSA,0,1.0,,Prefer someone also into K-pop,0,0,Shares similar hobbies,Find a mentor,reading,"painting, photography",Post Malone - Indie,Talking over others,fashion trends,Information likely town wall keep science last energy something choice fact event.,Why don’t skeletons fight each other? They don’t have the guts.,American,1,4,5,3,5,5,3,dinner with friends,I love hanging out at Plaza of Americas
Terri Barnett,he/him,joseph706@ufl.edu,860-476-9928x84192,@sarah44,2,Data Science,AAA,0,4.0,,Prefer someone from AAA,0,0,Supportive and caring,Meet new people,gym,"photography, traveling",Taylor Swift - Indie,Being late,k-pop gossip,Practice human wonder debate nothing stand table song summer reason tonight art certain as.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,1,3,3,4,5,5,1,movie night,
Patrick Thomas,she/her,amanda351@ufl.edu,643-472-2169x588,@jose76,2,Data Science,VSO,0,4.0,,,0,1,Shares similar hobbies,Guide underclassmen,traveling,"music, cooking",Drake - Pop,Being late,fashion trends,Federal goal hold focus almost step car small standard.,I only know 25 letters of the alphabet. I don’t know y.,Italian,0,5,5,5,4,2,5,movie night,
